filename,title,level,tactics,techniques,source_folder,original_path
registry_set_exploit_cve_2022_30190_msdt_follina.yml,Suspicious Set Value of MSDT in Registry (CVE-2022-30190),medium,stealth,T1221,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-30190/registry_set_exploit_cve_2022_30190_msdt_follina.yml
web_cve_2022_21587_oracle_ebs.yml,Potential CVE-2022-21587 Exploitation Attempt,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-21587/web_cve_2022_21587_oracle_ebs.yml
proc_creation_win_exploit_cve_2023_21554_queuejumper.yml,Potential CVE-2023-21554 QueueJumper Exploitation,high,"execution,privilege-escalation",,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-21554/proc_creation_win_exploit_cve_2023_21554_queuejumper.yml
web_cve_2022_36804_atlassian_bitbucket_command_injection.yml,Atlassian Bitbucket Command Injection Via Archive API,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-36804/web_cve_2022_36804_atlassian_bitbucket_command_injection.yml
web_cve_2022_31659_vmware_rce.yml,CVE-2022-31659 VMware Workspace ONE Access RCE,medium,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-31659/web_cve_2022_31659_vmware_rce.yml
proc_creation_win_exploit_cve_2022_22954_vmware_workspace_one_rce.yml,Potential CVE-2022-22954 Exploitation Attempt - VMware Workspace ONE Access Remote Code Execution,medium,"execution,initial-access","T1059.006,T1190",rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-22954/proc_creation_win_exploit_cve_2022_22954_vmware_workspace_one_rce.yml
web_cve_2022_36804_exchange_owassrf_poc_exploitation.yml,OWASSRF Exploitation Attempt Using Public POC - Webserver,critical,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-41082/web_cve_2022_36804_exchange_owassrf_poc_exploitation.yml
proxy_cve_2022_36804_exchange_owassrf_exploitation.yml,Potential OWASSRF Exploitation Attempt - Proxy,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-41082/proxy_cve_2022_36804_exchange_owassrf_exploitation.yml
proxy_cve_2022_36804_exchange_owassrf_poc_exploitation.yml,OWASSRF Exploitation Attempt Using Public POC - Proxy,critical,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-41082/proxy_cve_2022_36804_exchange_owassrf_poc_exploitation.yml
web_cve_2022_36804_exchange_owassrf_exploitation.yml,Potential OWASSRF Exploitation Attempt - Webserver,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-41082/web_cve_2022_36804_exchange_owassrf_exploitation.yml
win_system_exploit_cve_2022_21919_or_cve_2021_34484.yml,Potential Exploitation of CVE-2022-21919 or CVE-2021-34484 for LPE,low,execution,,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-21919/win_system_exploit_cve_2022_21919_or_cve_2021_34484.yml
web_cve_2022_44877_exploitation_attempt.yml,Potential Centos Web Panel Exploitation Attempt - CVE-2022-44877,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-44877/web_cve_2022_44877_exploitation_attempt.yml
proc_creation_lnx_exploit_cve_2022_33891_spark_shell_command_injection.yml,Apache Spark Shell Command Injection - ProcessCreation,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-33891/proc_creation_lnx_exploit_cve_2022_33891_spark_shell_command_injection.yml
web_cve_2022_33891_spark_shell_command_injection.yml,Apache Spark Shell Command Injection - Weblogs,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-33891/web_cve_2022_33891_spark_shell_command_injection.yml
lnx_exploit_cve_2022_27999_cve_2022_27800.yml,Potential Nimbuspwn Exploit CVE-2022-29799 and CVE-2022-27800,high,privilege-escalation,T1068,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-29799/lnx_exploit_cve_2022_27999_cve_2022_27800.yml
web_cve_2022_31656_auth_bypass.yml,CVE-2022-31656 VMware Workspace ONE Access Auth Bypass,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-31656/web_cve_2022_31656_auth_bypass.yml
win_system_exploit_cve_2022_37966_kdcsvc_rc4_downgrade.yml,Potential KDC RC4-HMAC Downgrade Exploit - CVE-2022-37966,high,privilege-escalation,,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-37966/win_system_exploit_cve_2022_37966_kdcsvc_rc4_downgrade.yml
proc_creation_win_exploit_cve_2022_29072_7zip.yml,Potential CVE-2022-29072 Exploitation Attempt,high,execution,,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-29072/proc_creation_win_exploit_cve_2022_29072_7zip.yml
file_event_win_cve_2022_24527_lpe.yml,CVE-2022-24527 Microsoft Connected Cache LPE,high,"execution,privilege-escalation",T1059.001,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-24527/file_event_win_cve_2022_24527_lpe.yml
proc_creation_win_exploit_cve_2022_41120_sysmon_eop.yml,Suspicious Sysmon as Execution Parent,high,privilege-escalation,T1068,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-41120/proc_creation_win_exploit_cve_2022_41120_sysmon_eop.yml
web_cve_2022_27925_exploit.yml,Zimbra Collaboration Suite Email Server Unauthenticated RCE,medium,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-27925/web_cve_2022_27925_exploit.yml
proc_creation_lnx_exploit_cve_2022_26134_atlassian_confluence.yml,Atlassian Confluence CVE-2022-26134,high,"execution,initial-access","T1059,T1190",rules-emerging-threats,rules-emerging-threats/2022/Exploits/CVE-2022-26134/proc_creation_lnx_exploit_cve_2022_26134_atlassian_confluence.yml
file_event_win_moriya_rootkit.yml,Moriya Rootkit File Created,critical,"persistence,privilege-escalation",T1543.003,rules-emerging-threats,rules-emerging-threats/2021/Malware/Moriya-Rootkit/file_event_win_moriya_rootkit.yml
registry_set_malware_small_sieve_evasion_typo.yml,Small Sieve Malware Registry Persistence,high,persistence,,rules-emerging-threats,rules-emerging-threats/2021/Malware/Small-Sieve/registry_set_malware_small_sieve_evasion_typo.yml
file_event_win_malware_small_sieve_evasion_typo.yml,Small Sieve Malware File Indicator Creation,high,stealth,T1036.005,rules-emerging-threats,rules-emerging-threats/2021/Malware/Small-Sieve/file_event_win_malware_small_sieve_evasion_typo.yml
